epoch,optimizer_phase,lr,lambda_g1_effective,lambda_g2_effective,loss_total,loss_base,loss_g1,loss_g2,loss_base_pde,loss_base_term,loss_base_low
1,adam,0.0001,0.0003125,0.0003125,1.3712469808524475e-05,5.728160431317519e-06,0.009526309557259083,0.016023479402065277,3.894443580065854e-06,1.693420472292928e-06,1.402965779107035e-07
2,adam,0.0001,0.000625,0.000625,0.0006021289736963809,0.0005524926818907261,0.07520698010921478,0.004211065825074911,0.0002548169868532568,0.00011578401608858258,0.00018189164984505624
3,adam,0.0001,0.0009375,0.0009375,0.0019441726617515087,0.001924266223795712,0.015435721725225449,0.005797764286398888,0.00014197712880559266,0.0004340489977039397,0.0013482400681823492
4,adam,0.0001,0.00125,0.00125,0.00028465024661272764,0.0002673899580258876,0.008316345512866974,0.0054918862879276276,0.00013327097985893488,6.003121234243736e-05,7.408775854855776e-05
5,adam,0.0001,0.0015625,0.0015625,0.0009046845370903611,0.000877177226357162,0.010064263828098774,0.007540385238826275,4.1914390749298036e-05,0.00011892370821442455,0.000716339098289609
6,adam,0.0001,0.001875,0.001875,0.0008706782246008515,0.0008273937273770571,0.01598602719604969,0.0070990403182804585,6.876738916616887e-05,0.00026342266937717795,0.000495203654281795
7,adam,0.0001,0.0021875,0.0021875,0.0003865417093038559,0.0003172410069964826,0.023218249902129173,0.008462081663310528,0.00010587423457764089,0.0001250622735824436,8.630450611235574e-05
8,adam,0.0001,0.0025,0.0025,0.00048532261280342937,0.00041035315371118486,0.02024746686220169,0.009740314446389675,7.508824637625366e-05,1.787203837011475e-05,0.00031739287078380585
9,adam,0.0001,0.0028125,0.0028125,0.0006101983599364758,0.0005379599751904607,0.015932587906718254,0.009752171114087105,3.2513322366867214e-05,7.006528176134452e-05,0.00043538137106224895
10,adam,0.0001,0.003125,0.003125,0.0004185127327218652,0.00031258261878974736,0.023856814950704575,0.010040822438895702,5.755147503805347e-05,9.430096542928368e-05,0.00016073018196038902
11,adam,0.0001,0.0034375,0.0034375,0.000245401548454538,0.00017090450273826718,0.012451255694031715,0.009220610372722149,6.926424975972623e-05,5.0043807277688757e-05,5.1596452976809815e-05
12,adam,0.0001,0.00375,0.00375,0.00033576335408724844,0.0002743419026955962,0.010660234838724136,0.005718818865716457,5.322111974237487e-05,1.1564019587240182e-05,0.000209556776098907
13,adam,0.0001,0.0040625,0.0040625,0.0004000203625764698,0.00031158977071754634,0.016064848750829697,0.00570268277078867,4.0188235288951546e-05,3.7725825677625835e-05,0.00023367571702692658
14,adam,0.0001,0.004375,0.004375,0.00028401080635376275,0.00019085979147348553,0.017247920855879784,0.0040437402203679085,5.4897456720937043e-05,4.499512579059228e-05,9.09672089619562e-05
15,adam,0.0001,0.0046875,0.0046875,0.0002014607161981985,0.0001096456398954615,0.015372531488537788,0.0042146858759224415,6.324826972559094e-05,2.226189462817274e-05,2.413547372270841e-05
16,adam,0.0001,0.005,0.005,0.00023539656831417233,0.00017939652025233954,0.007643221877515316,0.003556787269189954,6.0542832216015086e-05,9.533053344057407e-06,0.00010932063742075115
17,adam,0.0001,0.0053125,0.0053125,0.00030026398599147797,0.0002273766149301082,0.009895834140479565,0.0038241420406848192,7.173311314545572e-05,1.9202383555239066e-05,0.0001364411145914346
18,adam,0.0001,0.005625,0.005625,0.0002507238823454827,0.00015656765026506037,0.013320577330887318,0.0034183082170784473,7.450601697200909e-05,2.61275617958745e-05,5.593406604020856e-05
19,adam,0.0001,0.0059375,0.0059375,0.0001547212596051395,8.643691398901865e-05,0.008043204434216022,0.0034573161974549294,5.758394399890676e-05,1.4518188436341006e-05,1.433477609680267e-05
20,adam,0.0001,0.00625,0.00625,0.00015925924526527524,0.00010645334259606898,0.00561634311452508,0.002832601312547922,3.548892345861532e-05,1.030213479680242e-05,6.066228888812475e-05
21,adam,0.0001,0.0065625,0.0065625,0.00023249498917721212,0.00013118359493091702,0.01270170696079731,0.00273622153326869,3.40314072673209e-05,1.5767658624099568e-05,8.138452540151775e-05
22,adam,0.0001,0.006875,0.006875,0.00019018941384274513,0.00010609347373247147,0.009876937605440617,0.002355199307203293,4.272467776900157e-05,2.0447620045160875e-05,4.2921179556287825e-05
23,adam,0.0001,0.0071875,0.0071875,0.00012977760343346745,6.557587039424106e-05,0.005817245226353407,0.003115170169621706,4.4196811359142885e-05,1.3963464880362153e-05,7.4155968832201324e-06
24,adam,0.0001,0.0075,0.0075,0.00011288568202871829,6.703999679302797e-05,0.004035902209579945,0.0020768565591424704,3.0455830710707232e-05,1.1416541383368894e-05,2.5167626517941244e-05
25,adam,0.0001,0.0078125,0.0078125,0.0002182385214837268,9.430726640857756e-05,0.013059851713478565,0.0028033501002937555,3.0250168492784724e-05,1.4110248230281286e-05,4.9946851504500955e-05
26,adam,0.0001,0.008125,0.008125,0.00017358630429953337,8.242100739153102e-05,0.008264965377748013,0.002955381292849779,3.467914939392358e-05,1.1244193956372328e-05,3.6497665860224515e-05
27,adam,0.0001,0.0084375,0.0084375,8.620757580501959e-05,3.095168722211383e-05,0.004495267756283283,0.002053577220067382,1.770936432876624e-05,6.205492354638409e-06,7.0368296292144805e-06
28,adam,0.0001,0.00875,0.00875,0.0001203675928991288,4.4665335735771805e-05,0.006315970327705145,0.002335716737434268,2.6871774025494233e-05,8.129934940370731e-06,9.663629498390947e-06
29,adam,0.0001,0.0090625,0.0090625,0.00017039725207723677,7.458058098563924e-05,0.007738045416772366,0.0028348281048238277,2.711134948185645e-05,1.2302207323955372e-05,3.516702417982742e-05
30,adam,0.0001,0.009375,0.009375,0.0001288480416405946,6.564249633811414e-05,0.004433345980942249,0.0023085782304406166,2.663900886545889e-05,8.342429282492958e-06,3.066105637117289e-05
31,adam,0.0001,0.0096875,0.0096875,0.00010824621858773753,4.2448049498489127e-05,0.004680925980210304,0.0021111429668962955,3.0327737476909533e-05,5.459372459881706e-06,6.660940016445238e-06
32,adam,0.0001,0.01,0.01,9.889442299026996e-05,3.6650351830758154e-05,0.004169117193669081,0.002055289689451456,2.225763091701083e-05,8.298356988234445e-06,6.0943621065234765e-06
33,adam,0.0001,0.0103125,0.0103125,0.00012679942301474512,5.573656380875036e-05,0.004932312294840813,0.0019586312118917704,1.7580847270437516e-05,7.563141025457298e-06,3.0592575058108196e-05
34,adam,0.0001,0.010625,0.010625,0.00012084866466466337,4.797045039595105e-05,0.004924924112856388,0.0019342023879289627,1.919399801408872e-05,5.2749101087101735e-06,2.3501543182646856e-05
35,adam,0.0001,0.0109375,0.0109375,8.236165740527213e-05,2.7226122256251983e-05,0.0031200202647596598,0.0019209431484341621,1.6525169485248625e-05,6.912575827300316e-06,3.788376716329367e-06
36,adam,0.0001,0.01125,0.01125,9.450582001591101e-05,3.782412386499345e-05,0.0031356927938759327,0.0019026794470846653,1.770935341482982e-05,8.075763616943732e-06,1.2039005014230497e-05
37,adam,0.0001,0.0115625,0.0115625,0.0001164084897027351,5.167239942238666e-05,0.003917154856026173,0.0016816419083625078,2.213940751971677e-05,6.5365975387976505e-06,2.2996395273366943e-05
38,adam,0.0001,0.011875,0.011875,8.45809408929199e-05,3.3276184694841504e-05,0.0024888692423701286,0.0018315317574888468,1.63428903761087e-05,5.276843694446143e-06,1.1656449714791961e-05
39,adam,0.0001,0.0121875,0.0121875,9.145792137132958e-05,2.380449222982861e-05,0.0037344535812735558,0.001816597068682313,1.710933429421857e-05,5.118323770147981e-06,1.5768346202094108e-06
40,adam,0.0001,0.0125,0.0125,0.00010321986337658018,3.781841951422393e-05,0.0035639209672808647,0.001668194541707635,1.9434084606473334e-05,7.0205642259679735e-06,1.1363771591277327e-05
41,adam,0.0001,0.0128125,0.0128125,9.062288154382259e-05,3.679130531963892e-05,0.002612458076328039,0.0015890306094661355,1.9306595277157612e-05,3.6503381579677807e-06,1.3834370292897802e-05
42,adam,0.0001,0.013125,0.013125,9.366849553771317e-05,2.9319955501705408e-05,0.003581590484827757,0.0013211551122367382,2.1312598619260825e-05,4.185206307738554e-06,3.822150574706029e-06
43,adam,0.0001,0.0134375,0.0134375,9.471391967963427e-05,2.6879059078055434e-05,0.003303066361695528,0.0017451092135161161,1.973854159587063e-05,5.242279257799964e-06,1.898237655950652e-06
44,adam,0.0001,0.01375,0.01375,9.585460065864027e-05,3.087956793024205e-05,0.003002743236720562,0.0017227136995643377,2.0560499251587316e-05,4.161883225606289e-06,6.157184088806389e-06
